Combinação,Dezenas
Combinação 1,"60, 59, 54, 12, 11, 5"
Combinação 2,"60, 59, 54, 12, 11, 6"
Combinação 3,"60, 59, 54, 12, 11, 3"
Combinação 4,"60, 59, 54, 12, 11, 4"
Combinação 5,"60, 59, 54, 12, 11, 1"
Combinação 6,"60, 59, 54, 12, 5, 6"
Combinação 7,"60, 59, 54, 12, 5, 3"
Combinação 8,"60, 59, 54, 12, 5, 4"
Combinação 9,"60, 59, 54, 12, 5, 1"
Combinação 10,"60, 59, 54, 12, 6, 3"
Combinação 11,"60, 59, 54, 12, 6, 4"
Combinação 12,"60, 59, 54, 12, 6, 1"
Combinação 13,"60, 59, 54, 12, 3, 4"
Combinação 14,"60, 59, 54, 12, 3, 1"
Combinação 15,"60, 59, 54, 12, 4, 1"
Combinação 16,"60, 59, 54, 11, 5, 6"
Combinação 17,"60, 59, 54, 11, 5, 3"
Combinação 18,"60, 59, 54, 11, 5, 4"
Combinação 19,"60, 59, 54, 11, 5, 1"
Combinação 20,"60, 59, 54, 11, 6, 3"
Combinação 21,"60, 59, 54, 11, 6, 4"
Combinação 22,"60, 59, 54, 11, 6, 1"
Combinação 23,"60, 59, 54, 11, 3, 4"
Combinação 24,"60, 59, 54, 11, 3, 1"
Combinação 25,"60, 59, 54, 11, 4, 1"
Combinação 26,"60, 59, 54, 5, 6, 3"
Combinação 27,"60, 59, 54, 5, 6, 4"
Combinação 28,"60, 59, 54, 5, 6, 1"
Combinação 29,"60, 59, 54, 5, 3, 4"
Combinação 30,"60, 59, 54, 5, 3, 1"
Combinação 31,"60, 59, 54, 5, 4, 1"
Combinação 32,"60, 59, 54, 6, 3, 4"
Combinação 33,"60, 59, 54, 6, 3, 1"
Combinação 34,"60, 59, 54, 6, 4, 1"
Combinação 35,"60, 59, 54, 3, 4, 1"
Combinação 36,"60, 59, 12, 11, 5, 6"
Combinação 37,"60, 59, 12, 11, 5, 3"
Combinação 38,"60, 59, 12, 11, 5, 4"
Combinação 39,"60, 59, 12, 11, 5, 1"
Combinação 40,"60, 59, 12, 11, 6, 3"
Combinação 41,"60, 59, 12, 11, 6, 4"
Combinação 42,"60, 59, 12, 11, 6, 1"
Combinação 43,"60, 59, 12, 11, 3, 4"
Combinação 44,"60, 59, 12, 11, 3, 1"
Combinação 45,"60, 59, 12, 11, 4, 1"
Combinação 46,"60, 59, 12, 5, 6, 3"
Combinação 47,"60, 59, 12, 5, 6, 4"
Combinação 48,"60, 59, 12, 5, 6, 1"
Combinação 49,"60, 59, 12, 5, 3, 4"
Combinação 50,"60, 59, 12, 5, 3, 1"
Combinação 51,"60, 59, 12, 5, 4, 1"
Combinação 52,"60, 59, 12, 6, 3, 4"
Combinação 53,"60, 59, 12, 6, 3, 1"
Combinação 54,"60, 59, 12, 6, 4, 1"
Combinação 55,"60, 59, 12, 3, 4, 1"
Combinação 56,"60, 59, 11, 5, 6, 3"
Combinação 57,"60, 59, 11, 5, 6, 4"
Combinação 58,"60, 59, 11, 5, 6, 1"
Combinação 59,"60, 59, 11, 5, 3, 4"
Combinação 60,"60, 59, 11, 5, 3, 1"
Combinação 61,"60, 59, 11, 5, 4, 1"
Combinação 62,"60, 59, 11, 6, 3, 4"
Combinação 63,"60, 59, 11, 6, 3, 1"
Combinação 64,"60, 59, 11, 6, 4, 1"
Combinação 65,"60, 59, 11, 3, 4, 1"
Combinação 66,"60, 59, 5, 6, 3, 4"
Combinação 67,"60, 59, 5, 6, 3, 1"
Combinação 68,"60, 59, 5, 6, 4, 1"
Combinação 69,"60, 59, 5, 3, 4, 1"
Combinação 70,"60, 59, 6, 3, 4, 1"
Combinação 71,"60, 54, 12, 11, 5, 6"
Combinação 72,"60, 54, 12, 11, 5, 3"
Combinação 73,"60, 54, 12, 11, 5, 4"
Combinação 74,"60, 54, 12, 11, 5, 1"
Combinação 75,"60, 54, 12, 11, 6, 3"
Combinação 76,"60, 54, 12, 11, 6, 4"
Combinação 77,"60, 54, 12, 11, 6, 1"
Combinação 78,"60, 54, 12, 11, 3, 4"
Combinação 79,"60, 54, 12, 11, 3, 1"
Combinação 80,"60, 54, 12, 11, 4, 1"
Combinação 81,"60, 54, 12, 5, 6, 3"
Combinação 82,"60, 54, 12, 5, 6, 4"
Combinação 83,"60, 54, 12, 5, 6, 1"
Combinação 84,"60, 54, 12, 5, 3, 4"
Combinação 85,"60, 54, 12, 5, 3, 1"
Combinação 86,"60, 54, 12, 5, 4, 1"
Combinação 87,"60, 54, 12, 6, 3, 4"
Combinação 88,"60, 54, 12, 6, 3, 1"
Combinação 89,"60, 54, 12, 6, 4, 1"
Combinação 90,"60, 54, 12, 3, 4, 1"
Combinação 91,"60, 54, 11, 5, 6, 3"
Combinação 92,"60, 54, 11, 5, 6, 4"
Combinação 93,"60, 54, 11, 5, 6, 1"
